"NA." "Warehouse" "District" "Location.ge." "Location.sp." "Laititude" "Longtitude" "Area" "Fee"
"1" "10" "（出租）出租西青中北仓库" "西青" "西青 中北 " "天津西青中北镇" "39.125882" 117.091824 3000 0.509222222222222
"2" "20" "（出租）急芦新河厂房低价出租" "北辰" "北辰 北辰周边 " "天津北辰区津蓟高速" "39.2720947" 117.300787 1500 0.222222222222222
"3" "26" "（出租）出租西青杨柳青仓库" "西青" "西青 杨柳青 " "天津杨柳青" "39.128418" 117.015162 1100 0.560606060606061
"4" "28" "（出租）厂房仓库出租" "西青" "西青 西青周边 " "天津" "39.141152" 117.008827 1000 0.266666666666667
"5" "29" "（出租）带配房电表厂房出租" "宁河" "宁河 潘庄镇 " "天津潘庄镇潘庄村" "39.341324" 117.475713 1000 0.133333333333333
"6" "40" "（出租）出租北辰西堤头镇仓库" "北辰" "北辰 西堤头镇 " "天津西堤头镇西堤头村" "39.2542459999999" 117.355052 900 0.185185185185185
"7" "49" "（出租）出租河西小海地仓库" "河西" "河西 小海地 " "天津洞庭路" "39.0663743" 117.6930863 700 0.238095238095238
"8" "50" "（出租）出租北辰青光仓库" "北辰" "北辰 青光 " "天津青光" "39.199091" 117.038959 700 0.380952380952381
"9" "57" "（出租）出租津南双港仓库" "津南" "津南 双港 " "天津李楼" "39.133052" 117.046228 650 0.333333333333333
"10" "59" "（出租）出租西青中北仓库" "西青" "西青 中北 " "天津西青道" "39.1521151" 117.0860735 600 0.472222222222222
"11" "66" "（出租）出租武清杨村街仓库" "武清" "武清 杨村街 " "天津中医院东侧" "39.115012" 117.164569 500 0.22
"12" "78" "（出租）出租西青中北仓库" "西青" "西青 中北 " "天津中北大道" "39.1225773" 117.0730259 400 0.625
"13" "79" "（出租）出租宝坻方家庄镇仓库" "宝坻" "宝坻 方家庄镇 " "天津九园公路" "39.4567999" 117.4496123 400 0.139166666666667
"14" "90" "（出租）特好的厂房出租" "东丽" "东丽 津塘路 " "天津小东庄" "39.064397" 117.403344 390 0.179487179487179
"15" "102" "（出租）出租北辰北仓仓库" "北辰" "北辰 北仓 " "天津辰泰路" "39.2146149" 117.1760557 300 0.222222222222222
"16" "103" "（出租）出租西青李七庄仓库" "西青" "西青 李七庄 " "天津津涞公路" "39.0423035" 117.1007911 300 0.333333333333333
"17" "104" "（出租）出租南开万兴街仓库" "南开" "南开 万兴街 " "天津双峰道" "39.1176198" 117.1763903 300 0.5
"18" "105" "（出租）出租北辰北辰周边仓库" "北辰" "北辰 北辰周边 " "天津北辰道" "39.2281239" 117.14218 300 0.333333333333333
"19" "106" "（出租）出租西青大寺仓库" "西青" "西青 大寺 " "天津赛达一大道" "38.9763479" 117.2383048 300 0.35
"20" "107" "（出租）出租静海良王庄乡仓库" "静海" "静海 良王庄乡 " "天津四小屯小学" "39.022299" 116.993892 300 0.222222222222222
"21" "108" "（出租）二号桥明家庄园边上" "河东" "河东 二号桥 " "天津明家庄园" "39.100331" 117.30567 300 0.5
"22" "138" "（出租）出租静海杨城庄乡仓库" "静海" "静海 杨城庄乡 " "天津杨城庄" "38.987585" 117.061778 280 0.476190476190476
"23" "140" "（出租）出租西青中北仓库" "西青" "西青 中北 " "天津星光路" "39.1291542" 117.0740921 270 0.345679012345679
"24" "141" "（出租）出租津南双港仓库" "津南" "津南 双港 " "天津李楼工业园" "39.059161" 117.316357 265 0.358490566037736
